Time(s),Input(v),Output(v),Output(m)
0,2.561,0,0
0.1,2.561,0.001,0.002
0.2,2.561,0.004,0.005
0.3,2.561,0.007,0.01
0.4,2.561,0.012,0.016
0.5,2.552,0.019,0.024
0.6,2.552,0.026,0.033
0.7,2.542,0.034,0.044
0.8,2.542,0.042,0.055
0.9,2.532,0.052,0.068
1,2.532,0.062,0.081
1.1,2.532,0.073,0.095
1.2,2.532,0.084,0.109
1.3,2.532,0.096,0.124
1.4,2.522,0.108,0.14
1.5,2.522,0.12,0.156
1.6,2.522,0.133,0.173
1.7,2.532,0.146,0.19
1.8,2.522,0.16,0.208
1.9,2.522,0.174,0.226
2,2.532,0.188,0.244
2.1,2.532,0.203,0.263
2.2,2.532,0.218,0.283
2.3,2.532,0.233,0.303
2.4,2.532,0.249,0.324
2.5,2.532,0.266,0.345
2.6,2.532,0.283,0.368
2.7,2.532,0.3,0.39
2.8,2.532,0.318,0.413
2.9,2.522,0.337,0.437
3,2.522,0.355,0.461
3.1,2.522,0.374,0.486
3.2,2.522,0.393,0.51
3.3,2.522,0.412,0.535
3.4,2.522,0.432,0.561
3.5,2.522,0.451,0.586
3.6,2.522,0.471,0.612
3.7,2.532,0.492,0.638
3.8,2.522,0.512,0.665
3.9,2.522,0.533,0.692
4,2.522,0.554,0.719
4.1,2.522,0.575,0.747
4.2,2.522,0.596,0.774
4.3,2.522,0.618,0.802
4.4,2.522,0.64,0.831
4.5,2.522,0.661,0.859
4.6,2.522,0.684,0.888
4.7,2.522,0.706,0.917
4.8,2.522,0.728,0.946
4.9,2.522,0.751,0.975
5,2.522,0.774,1.005
5.1,2.522,0.797,1.035
5.2,2.512,0.82,1.065
5.3,2.522,0.843,1.095
5.4,2.512,0.867,1.126
5.5,2.522,0.89,1.156
5.6,2.522,0.914,1.187
5.7,2.522,0.937,1.217
5.8,2.522,0.961,1.248
5.9,2.522,0.985,1.28
6,2.512,1.009,1.311
6.1,2.522,1.034,1.342
6.2,2.512,1.058,1.374
6.3,2.522,1.082,1.406
6.4,2.522,1.107,1.437
6.5,2.512,1.131,1.469
6.6,2.512,1.156,1.501
6.7,2.512,1.18,1.533
6.8,2.512,1.205,1.565
6.9,2.512,1.229,1.597
7,2.512,1.254,1.628
7.1,2.522,1.278,1.66
7.2,2.522,1.303,1.692
7.3,2.512,1.327,1.724
7.4,2.512,1.352,1.756
7.5,2.512,1.377,1.788
7.6,2.512,1.401,1.82
7.7,2.522,1.426,1.851
7.8,2.512,1.45,1.884
7.9,2.512,1.475,1.916
8,2.512,1.5,1.947
8.1,2.512,1.524,1.979
8.2,2.522,1.549,2.011
8.3,2.512,1.573,2.043
8.4,2.512,1.598,2.075
8.5,2.522,1.623,2.107
8.6,2.522,1.647,2.139
8.7,2.512,1.672,2.172
8.8,2.512,1.697,2.204
8.9,2.512,1.722,2.236
9,2.512,1.747,2.268
9.1,2.512,1.771,2.3
9.2,2.512,1.796,2.333
9.3,2.512,1.821,2.365
9.4,2.512,1.845,2.396
9.5,2.512,1.87,2.428
9.6,2.512,1.894,2.46
9.7,2.512,1.919,2.492
9.8,2.512,1.943,2.524
9.9,2.512,1.968,2.555
10,2.512,1.992,2.587
10.1,2.512,2.016,2.619
10.2,2.512,2.041,2.65
10.3,2.512,2.065,2.682
10.4,2.512,2.089,2.713
10.5,2.512,2.113,2.745
10.6,2.512,2.137,2.776
10.7,2.512,2.162,2.807
10.8,2.512,2.186,2.838
10.9,2.512,2.21,2.87
11,2.512,2.234,2.901
11.1,2.512,2.258,2.932
11.2,2.512,2.281,2.963
11.3,2.512,2.305,2.994
11.4,2.512,2.329,3.025
11.5,2.512,2.353,3.056
11.6,2.512,2.377,3.087
11.7,2.512,2.401,3.118
11.8,2.512,2.424,3.149
11.9,2.512,2.448,3.179
12,2.512,2.472,3.21
12.1,2.512,2.495,3.241
12.2,2.512,2.519,3.271
12.3,2.512,2.543,3.302
12.4,2.503,2.566,3.333
12.5,2.512,2.589,3.363
12.6,2.503,2.613,3.393
12.7,2.503,2.636,3.423
12.8,2.503,2.659,3.453
12.9,2.512,2.681,3.482
13,2.512,2.704,3.512
13.1,2.512,2.727,3.541
13.2,2.512,2.749,3.57
13.3,2.512,2.772,3.6
13.4,2.512,2.794,3.629
13.5,2.512,2.817,3.658
13.6,2.503,2.839,3.687
13.7,2.512,2.862,3.716
13.8,2.503,2.884,3.745
13.9,2.503,2.906,3.774
14,2.503,2.928,3.802
14.1,2.503,2.949,3.83
14.2,2.512,2.971,3.858
14.3,2.503,2.992,3.886
14.4,2.512,3.013,3.914
14.5,2.512,3.035,3.941
14.6,2.503,3.056,3.969
14.7,2.503,3.077,3.996
14.8,2.512,3.098,4.023
14.9,2.512,3.119,4.05
15,2.503,3.139,4.077
15.1,2.512,3.16,4.104
15.2,2.512,3.181,4.131
15.3,2.503,3.201,4.158
15.4,2.512,3.222,4.184
15.5,2.503,3.242,4.211
15.6,2.503,3.263,4.237
15.7,2.503,3.283,4.263
15.8,2.503,3.303,4.289
15.9,2.503,3.322,4.315
16,2.503,3.342,4.34
16.1,2.503,3.361,4.365
16.2,2.512,3.38,4.39
16.3,2.503,3.4,4.415
16.4,2.503,3.419,4.44
16.5,2.503,3.437,4.464
16.6,2.512,3.456,4.488
16.7,2.503,3.475,4.513
16.8,2.503,3.493,4.537
16.9,2.503,3.512,4.561
17,2.503,3.53,4.584
17.1,2.512,3.548,4.608
17.2,2.503,3.566,4.631
17.3,2.503,3.584,4.654
17.4,2.512,3.602,4.677
17.5,2.503,3.619,4.7
17.6,2.503,3.637,4.723
17.7,2.503,3.654,4.746
17.8,2.503,3.672,4.768
17.9,2.503,3.689,4.791
18,2.512,3.706,4.813
18.1,2.512,3.723,4.835
18.2,2.503,3.74,4.857
18.3,2.512,3.757,4.879
18.4,2.503,3.774,4.901
18.5,2.503,3.791,4.923
18.6,2.512,3.807,4.945
18.7,2.503,3.824,4.967
18.8,2.503,3.841,4.988
18.9,2.503,3.857,5.009
19,2.503,3.874,5.031
19.1,2.503,3.89,5.052
19.2,2.503,3.906,5.072
19.3,2.503,3.922,5.093
19.4,2.503,3.937,5.114
19.5,2.503,3.953,5.134
19.6,2.503,3.969,5.154
19.7,2.503,3.984,5.174
19.8,2.503,3.999,5.194
19.9,2.503,4.014,5.213
20,2.503,4.029,5.233
20.1,2.503,4.044,5.252
20.2,2.503,4.059,5.271
20.3,2.493,4.073,5.29
20.4,2.503,4.088,5.309
20.5,2.503,4.102,5.327
20.6,2.503,4.116,5.345
20.7,2.503,4.13,5.363
20.8,2.512,4.143,5.381
20.9,2.503,4.157,5.399
21,2.503,4.171,5.417
21.1,2.503,4.185,5.435
21.2,2.503,4.198,5.452
21.3,2.503,4.212,5.47
21.4,2.503,4.225,5.487
21.5,2.503,4.238,5.504
21.6,2.503,4.252,5.521
21.7,2.503,4.265,5.538
21.8,2.503,4.277,5.555
21.9,2.503,4.29,5.572
22,2.503,4.303,5.588
22.1,2.503,4.316,5.605
22.2,2.503,4.328,5.621
22.3,2.503,4.341,5.637
22.4,2.503,4.353,5.653
22.5,2.503,4.365,5.669
22.6,2.493,4.377,5.685
22.7,2.503,4.389,5.7
22.8,2.493,4.401,5.715
22.9,2.503,4.412,5.73
23,2.503,4.424,5.745
23.1,2.503,4.435,5.76
23.2,2.503,4.446,5.774
23.3,2.503,4.457,5.789
23.4,2.493,4.468,5.803
23.5,2.503,4.479,5.817
23.6,2.503,4.49,5.831
23.7,2.503,4.501,5.845
23.8,2.503,4.511,5.859
23.9,2.503,4.522,5.872
24,2.503,4.532,5.886
24.1,2.503,4.542,5.899
24.2,2.503,4.553,5.912
24.3,2.503,4.563,5.926
24.4,2.493,4.573,5.939
24.5,2.503,4.583,5.952
24.6,2.503,4.593,5.964
24.7,2.503,4.602,5.977
24.8,2.503,4.612,5.989
24.9,2.503,4.621,6.002
25,2.493,4.631,6.014
25.1,2.503,4.64,6.026
25.2,2.503,4.65,6.038
25.3,2.503,4.659,6.05
25.4,2.493,4.668,6.062
25.5,2.503,4.677,6.074
25.6,2.503,4.685,6.085
25.7,2.503,4.694,6.096
25.8,2.503,4.703,6.108
25.9,2.503,4.711,6.119
26,2.503,4.72,6.13
26.1,2.503,4.729,6.141
26.2,2.503,4.737,6.152
26.3,2.493,4.746,6.163
26.4,2.503,4.754,6.174
26.5,2.503,4.762,6.184
26.6,2.503,4.77,6.195
26.7,2.503,4.778,6.205
26.8,2.493,4.786,6.216
26.9,2.503,4.794,6.226
27,2.503,4.802,6.236
27.1,2.503,4.809,6.246
27.2,2.503,4.817,6.256
27.3,2.503,4.825,6.266
27.4,2.493,4.832,6.275
27.5,2.493,4.839,6.285
27.6,2.503,4.847,6.294
27.7,2.503,4.854,6.303
27.8,2.503,4.861,6.313
27.9,2.493,4.868,6.322
28,2.503,4.874,6.33
28.1,2.503,4.881,6.339
28.2,2.503,4.888,6.348
28.3,2.503,4.895,6.357
28.4,2.493,4.901,6.365
28.5,2.503,4.908,6.374
28.6,2.503,4.914,6.382
28.7,2.503,4.92,6.39
28.8,2.493,4.927,6.398
28.9,2.503,4.933,6.406
29,2.503,4.939,6.414
29.1,2.493,4.945,6.422
29.2,2.493,4.951,6.43
29.3,2.493,4.957,6.437
29.4,2.493,4.962,6.444
29.5,2.493,4.967,6.451
29.6,2.503,4.972,6.458
29.7,2.493,4.977,6.464
29.8,2.503,4.982,6.47
29.9,2.503,4.987,6.477
30,2.503,4.992,6.483
30.1,2.503,4.997,6.489
30.2,2.503,5.001,6.495
30.3,2.493,5.006,6.502
30.4,2.503,5.011,6.508
30.5,2.503,5.015,6.514
30.6,2.503,5.02,6.519
30.7,2.493,5.025,6.525
30.8,2.503,5.029,6.531
30.9,2.493,5.033,6.537
31,2.503,5.037,6.542
31.1,2.503,5.042,6.548
31.2,2.503,5.046,6.553
31.3,2.493,5.05,6.558
31.4,2.503,5.054,6.564
31.5,2.493,5.058,6.569
31.6,2.493,5.062,6.574
31.7,2.503,5.065,6.578
31.8,2.503,5.069,6.583
31.9,2.503,5.073,6.588
32,2.493,5.076,6.593
32.1,2.503,5.08,6.597
32.2,2.503,5.083,6.602
32.3,2.503,5.087,6.606
32.4,2.493,5.09,6.611
32.5,2.493,5.093,6.615
32.6,2.503,5.096,6.619
32.7,2.493,5.1,6.623
32.8,2.503,5.103,6.627
32.9,2.493,5.105,6.63
33,2.503,5.108,6.634
33.1,2.493,5.111,6.638
33.2,2.503,5.114,6.641
33.3,2.493,5.116,6.644
33.4,2.493,5.119,6.648
33.5,2.493,5.121,6.651
33.6,2.503,5.123,6.653
33.7,2.493,5.125,6.656
33.8,2.503,5.127,6.659
33.9,2.503,5.129,6.661
34,2.493,5.131,6.664
34.1,2.503,5.133,6.666
34.2,2.493,5.135,6.669
34.3,2.493,5.137,6.671
34.4,2.493,5.138,6.673
34.5,2.503,5.139,6.675
34.6,2.493,5.141,6.676
34.7,2.493,5.142,6.678
34.8,2.503,5.143,6.679
34.9,2.493,5.144,6.681
35,2.503,5.145,6.682
35.1,2.503,5.146,6.683
35.2,2.503,5.147,6.685
35.3,2.493,5.148,6.686
35.4,2.493,5.149,6.687
35.5,2.503,5.15,6.688
35.6,2.503,5.151,6.689
35.7,2.493,5.152,6.69
35.8,2.493,5.152,6.691
35.9,2.493,5.153,6.692
36,2.493,5.153,6.693
36.1,2.493,5.154,6.693
36.2,2.493,5.154,6.693
36.3,2.493,5.154,6.693
36.4,2.503,5.153,6.693
36.5,2.503,5.153,6.692
36.6,2.493,5.153,6.692
36.7,2.503,5.153,6.692
36.8,2.493,5.153,6.692
36.9,2.493,5.152,6.691
37,2.493,5.152,6.691
37.1,2.503,5.151,6.69
37.2,2.503,5.151,6.689
37.3,2.493,5.15,6.688
37.4,2.503,5.149,6.688
37.5,2.503,5.149,6.687
37.6,2.493,5.148,6.686
37.7,2.503,5.148,6.685
37.8,2.493,5.147,6.684
37.9,2.503,5.146,6.683
38,2.493,5.146,6.683
38.1,2.493,5.145,6.681
38.2,2.503,5.144,6.68
38.3,2.493,5.143,6.679
38.4,2.493,5.142,6.678
38.5,2.493,5.141,6.676
38.6,2.503,5.139,6.675
38.7,2.503,5.138,6.673
38.8,2.493,5.137,6.671
38.9,2.493,5.136,6.67
39,2.493,5.134,6.668
39.1,2.503,5.133,6.666
39.2,2.493,5.131,6.664
39.3,2.503,5.13,6.662
39.4,2.503,5.128,6.66
39.5,2.493,5.127,6.658
39.6,2.503,5.125,6.656
39.7,2.493,5.123,6.654
39.8,2.503,5.122,6.652
39.9,2.503,5.12,6.65
40,2.493,5.119,6.648
40.1,2.503,5.117,6.645
40.2,2.503,5.115,6.643
40.3,2.493,5.114,6.641
40.4,2.503,5.112,6.639
40.5,2.503,5.111,6.637
40.6,2.503,5.109,6.635
40.7,2.503,5.108,6.633
40.8,2.503,5.106,6.632
40.9,2.493,5.105,6.63
41,2.493,5.104,6.628
41.1,2.493,5.102,6.626
41.2,2.503,5.1,6.624
41.3,2.493,5.099,6.622
41.4,2.493,5.097,6.62
41.5,2.493,5.095,6.617
41.6,2.503,5.093,6.615
41.7,2.493,5.091,6.612
41.8,2.503,5.089,6.61
41.9,2.493,5.087,6.607
42,2.503,5.085,6.604
42.1,2.493,5.083,6.602
42.2,2.493,5.081,6.599
42.3,2.493,5.079,6.596
42.4,2.493,5.077,6.593
42.5,2.493,5.074,6.59
42.6,2.493,5.072,6.586
42.7,2.493,5.069,6.583
42.8,2.503,5.066,6.579
42.9,2.503,5.063,6.576
43,2.503,5.061,6.572
43.1,2.493,5.058,6.569
43.2,2.493,5.055,6.565
43.3,2.493,5.053,6.562
43.4,2.493,5.05,6.558
43.5,2.493,5.047,6.554
43.6,2.503,5.043,6.55
43.7,2.493,5.04,6.546
43.8,2.503,5.037,6.542
43.9,2.503,5.034,6.538
44,2.493,5.031,6.534
44.1,2.493,5.028,6.53
44.2,2.493,5.025,6.526
44.3,2.493,5.022,6.521
44.4,2.503,5.018,6.517
44.5,2.503,5.015,6.513
44.6,2.493,5.012,6.509
44.7,2.503,5.008,6.504
44.8,2.493,5.005,6.5
44.9,2.503,5.002,6.496
45,2.503,4.998,6.491
45.1,2.493,4.995,6.487
45.2,2.503,4.992,6.483
45.3,2.503,4.989,6.479
45.4,2.493,4.986,6.475
45.5,2.503,4.982,6.471
45.6,2.503,4.979,6.467
45.7,2.503,4.976,6.463
45.8,2.493,4.973,6.459
45.9,2.503,4.97,6.455
46,2.493,4.967,6.451
46.1,2.503,4.964,6.447
46.2,2.493,4.961,6.443
46.3,2.503,4.958,6.439
46.4,2.493,4.955,6.435
46.5,2.493,4.952,6.431
46.6,2.503,4.949,6.427
46.7,2.503,4.946,6.423
46.8,2.493,4.943,6.419
46.9,2.503,4.939,6.415
47,2.493,4.936,6.411
47.1,2.503,4.933,6.407
47.2,2.493,4.93,6.403
47.3,2.493,4.927,6.398
47.4,2.493,4.924,6.394
47.5,2.493,4.92,6.39
47.6,2.493,4.917,6.385
47.7,2.493,4.913,6.38
47.8,2.503,4.909,6.376
47.9,2.503,4.906,6.371
48,2.503,4.902,6.366
48.1,2.493,4.899,6.362
48.2,2.503,4.895,6.357
48.3,2.493,4.892,6.353
48.4,2.493,4.888,6.348
48.5,2.503,4.884,6.343
48.6,2.493,4.881,6.339
48.7,2.493,4.877,6.334
48.8,2.493,4.873,6.329
48.9,2.503,4.869,6.324
49,2.503,4.866,6.319
49.1,2.493,4.862,6.314
49.2,2.493,4.858,6.309
49.3,2.503,4.854,6.304
49.4,2.493,4.851,6.299
49.5,2.503,4.847,6.294
49.6,2.503,4.843,6.289
49.7,2.503,4.839,6.285
49.8,2.493,4.836,6.28
49.9,2.493,4.832,6.275
50,2.503,4.828,6.27
50.1,2.503,4.824,6.265
50.2,2.493,4.821,6.261
50.3,2.493,4.817,6.256
50.4,2.493,4.813,6.251
50.5,2.493,4.809,6.246
50.6,2.503,4.805,6.241
50.7,2.493,4.801,6.236
50.8,2.503,4.797,6.23
50.9,2.503,4.793,6.225
51,2.503,4.79,6.22
51.1,2.503,4.786,6.215
51.2,2.503,4.782,6.211
51.3,2.493,4.779,6.206
51.4,2.503,4.775,6.201
51.5,2.503,4.772,6.197
51.6,2.503,4.768,6.192
51.7,2.493,4.765,6.188
51.8,2.503,4.761,6.184
51.9,2.503,4.758,6.179
52,2.503,4.755,6.175
52.1,2.503,4.752,6.171
52.2,2.503,4.748,6.167
52.3,2.503,4.745,6.163
52.4,2.503,4.743,6.159
52.5,2.493,4.74,6.156
52.6,2.503,4.737,6.152
52.7,2.503,4.734,6.148
52.8,2.493,4.731,6.144
52.9,2.493,4.728,6.141
53,2.493,4.725,6.137
53.1,2.493,4.722,6.133
53.2,2.503,4.719,6.129
53.3,2.493,4.716,6.125
53.4,2.493,4.713,6.12
53.5,2.493,4.709,6.116
53.6,2.503,4.706,6.112
53.7,2.503,4.703,6.107
53.8,2.503,4.699,6.103
53.9,2.503,4.696,6.099
54,2.503,4.693,6.095
54.1,2.503,4.69,6.091
54.2,2.493,4.687,6.087
54.3,2.493,4.684,6.083
54.4,2.503,4.681,6.079
54.5,2.503,4.678,6.075
54.6,2.503,4.675,6.072
54.7,2.503,4.672,6.068
54.8,2.493,4.67,6.064
54.9,2.493,4.667,6.061
55,2.503,4.664,6.057
55.1,2.503,4.661,6.053
55.2,2.503,4.658,6.049
55.3,2.503,4.655,6.046
55.4,2.493,4.653,6.042
55.5,2.493,4.65,6.039
55.6,2.503,4.647,6.035
55.7,2.493,4.644,6.031
55.8,2.493,4.641,6.028
55.9,2.503,4.638,6.024
56,2.503,4.635,6.02
56.1,2.503,4.632,6.016
56.2,2.503,4.63,6.013
56.3,2.503,4.627,6.009
56.4,2.493,4.624,6.006
56.5,2.493,4.622,6.002
56.6,2.493,4.619,5.999
56.7,2.503,4.616,5.995
56.8,2.493,4.613,5.991
56.9,2.503,4.61,5.987
57,2.503,4.607,5.984
57.1,2.493,4.605,5.98
57.2,2.503,4.602,5.976
57.3,2.503,4.599,5.973
57.4,2.493,4.596,5.969
57.5,2.503,4.593,5.965
57.6,2.493,4.591,5.962
57.7,2.503,4.588,5.958
57.8,2.503,4.585,5.955
57.9,2.503,4.582,5.951
58,2.503,4.58,5.948
58.1,2.503,4.577,5.944
58.2,2.503,4.575,5.941
58.3,2.503,4.572,5.938
58.4,2.503,4.57,5.935
58.5,2.503,4.568,5.932
58.6,2.503,4.566,5.93
58.7,2.493,4.564,5.927
58.8,2.493,4.562,5.924
58.9,2.493,4.559,5.921
59,2.503,4.557,5.918
59.1,2.503,4.555,5.915
59.2,2.503,4.552,5.912
59.3,2.493,4.55,5.909
59.4,2.503,4.548,5.906
59.5,2.503,4.546,5.904
59.6,2.503,4.544,5.901
59.7,2.503,4.542,5.898
59.8,2.503,4.54,5.896
59.9,2.503,4.538,5.893
60,2.503,4.536,5.891
60.1,2.493,4.534,5.889
60.2,2.503,4.532,5.886
60.3,2.503,4.531,5.884
60.4,2.503,4.529,5.882
60.5,2.503,4.527,5.879
60.6,2.493,4.526,5.877
60.7,2.503,4.524,5.875
60.8,2.493,4.522,5.873
60.9,2.493,4.521,5.871
61,2.493,4.519,5.868
61.1,2.493,4.517,5.866
61.2,2.493,4.515,5.863
61.3,2.493,4.512,5.86
61.4,2.493,4.51,5.857
61.5,2.503,4.507,5.854
61.6,2.503,4.505,5.851
61.7,2.493,4.503,5.848
61.8,2.493,4.5,5.844
61.9,2.493,4.498,5.841
62,2.503,4.495,5.838
62.1,2.503,4.492,5.834
62.2,2.493,4.49,5.831
62.3,2.503,4.487,5.828
62.4,2.493,4.485,5.824
62.5,2.503,4.482,5.821
62.6,2.493,4.479,5.817
62.7,2.493,4.477,5.814
62.8,2.503,4.474,5.81
62.9,2.503,4.471,5.807
63,2.503,4.469,5.803
63.1,2.503,4.466,5.8
63.2,2.493,4.464,5.797
63.3,2.503,4.461,5.793
63.4,2.503,4.458,5.79
63.5,2.503,4.456,5.787
63.6,2.493,4.454,5.784
63.7,2.503,4.451,5.781
63.8,2.503,4.449,5.778
63.9,2.503,4.447,5.775
64,2.503,4.444,5.772
64.1,2.503,4.442,5.769
64.2,2.503,4.44,5.766
64.3,2.503,4.438,5.764
64.4,2.493,4.436,5.761
64.5,2.493,4.434,5.759
64.6,2.503,4.432,5.756
64.7,2.503,4.43,5.753
64.8,2.493,4.428,5.751
64.9,2.493,4.426,5.748
65,2.503,4.424,5.745
65.1,2.503,4.422,5.742
65.2,2.503,4.419,5.74
65.3,2.503,4.417,5.737
